feature,rf_importance,xgb_importance,avg_importance
mfcc_std_0,0.0005521942032138002,0.0038823736196553164,0.0022172839114345585
mel_spec_mean_79,0.00024454070185944574,0.0040900717828084125,0.0021673062423339293
mel_spec_std_113,0.0007312821064090133,0.0035345292734828863,0.00213290568994595
mel_spec_std_121,0.0004993628785868688,0.0036015206609259953,0.0020504417697564323
mel_spec_std_93,0.000365261561951709,0.0036935313943434844,0.0020293964781475968
mel_spec_std_60,0.0004376503853006678,0.0035415350628847427,0.001989592724092705
mel_spec_std_85,0.00023382470587497792,0.003682280403815887,0.0019580525548454327
mel_spec_mean_101,0.00024234814265587797,0.0036644224839454346,0.0019533853133006564
mel_spec_std_126,0.0003843216424452033,0.0034885496663098984,0.0019364356543775509
mel_spec_mean_104,0.0006810106934719491,0.0031368013640696354,0.0019089060287707923
mel_spec_mean_76,0.00040923733928312065,0.003228775839405981,0.0018190065893445508
mel_spec_std_102,0.0004842818654635676,0.003011628392745148,0.0017479551291043579
mel_spec_std_35,0.0005200600064513764,0.0028787857260216365,0.0016994228662365065
mel_spec_mean_48,0.0009451742872942082,0.002407706935297359,0.0016764406112957835
mel_spec_mean_52,0.0004360834297524707,0.0028459338513626294,0.00164100864055755
mel_spec_mean_87,0.000373054574310371,0.0028128583322871814,0.001592956453298776
mel_spec_std_122,0.0004489508771036406,0.0025672446936368942,0.0015080977853702674
mel_spec_std_98,0.000949601604581525,0.0020644267893988977,0.0015070141969902113
mel_spec_mean_85,0.0005455955610281039,0.0023677896877581425,0.0014566926243931232
mel_spec_std_115,0.0005804714252998278,0.0022855288433757696,0.0014330001343377987
mel_spec_mean_105,0.00030573273575776083,0.0025226886130192065,0.0014142106743884836
mel_spec_mean_59,0.0005204932540907015,0.002272508699785579,0.0013965009769381404
mel_spec_mean_86,0.0006756201860147297,0.0020077631131491876,0.0013416916495819586
mel_spec_std_97,0.0006596636134429044,0.0018395256801423702,0.0012495946467926374
mel_spec_std_120,0.0003459814419468056,0.002121762711216103,0.0012338720765814543
mel_spec_std_38,0.000392670337699041,0.00206764338707382,0.0012301568623864305
mel_spec_std_57,0.00016504610273323809,0.0022940458306534724,0.0012295459666933552
mel_spec_mean_94,0.000023638851729427062,0.0023394081402908673,0.001181523496010147
mel_spec_mean_70,0.0003829073798826566,0.0018683172423731196,0.001125612311127888
mel_spec_std_124,0.00008398237009231527,0.0021542260550301185,0.0011191042125612168
mel_spec_mean_99,0.00007410820569722804,0.002161609326404604,0.001117858766050916
mel_spec_mean_96,0.00010568038698534591,0.001946030565622178,0.001025855476303762
mel_spec_mean_98,0.000062480212923316,0.001819171519442038,0.0009408258661826771
mel_spec_mean_88,0.0010515192992399337,0.0007689780640331181,0.0009102486816365259
mel_spec_mean_100,0.00021978712161040365,0.0014668203551660884,0.000843303738388246
mel_spec_mean_95,0.00023592002019420365,0.0014405932108109648,0.0008382566155025842
mel_spec_mean_125,0.0003528221524231409,0.0012227116702971134,0.0007877669113601272
mel_spec_mean_122,0.00036371898708550536,0.0011941516263918443,0.0007789353067386748
mel_spec_mean_82,0.00012826252699458442,0.0011623629622838714,0.0006453127446392279
mel_spec_std_123,0.00036966628597186657,0.0007316320287910374,0.000550649157381452
mel_spec_std_59,0.00024408292183682742,0.0007184839553453705,0.000481283438591099
mel_spec_std_101,0.00018099768266670373,0.0007810408926822922,0.000481019287674498
mel_spec_std_125,0.00021153462935384943,0.0007433026859706098,0.0004774186576622296
mel_spec_mean_102,0.00011944643915017535,0.0005129659548401833,0.0003162061969951793
mel_spec_std_56,0.0004886715277954146,0.0,0.0002443357638977073
mel_spec_mean_81,0.0002802970640337512,0.0,0.0001401485320168756
mel_spec_mean_127,0.0,0.0,0.0
mel_spec_std_127,0.0,0.0,0.0
